Country Name,Country Code,GDP per Capita
St. Vincent and the Grenadines,VCT,7278.016297
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,2785.724161
Vanuatu,VUT,2870.0893
World,WLD,10916.08083
Samoa,WSM,4067.843459
Kosovo,XKX,4310.811183
"Yemen, Rep.",YEM,
South Africa,ZAF,5655.867654
Zambia,ZMB,985.132436
Zimbabwe,ZWE,1214.50982
