Country Name,Country Code,GINI per capita
"Macao SAR, China",MAC,
St. Martin (French part),MAF,
Morocco,MAR,3020
Monaco,MCO,
Moldova,MDA,4560
Madagascar,MDG,470
Maldives,MDV,6490
Middle East & North Africa,MEA,6892.357152
Mexico,MEX,8480
Marshall Islands,MHL,4940
Middle income,MIC,5317.700254
North Macedonia,MKD,5750
Mali,MLI,830
Malta,MLT,25860
Myanmar,MMR,1350
Middle East & North Africa (excluding high income),MNA,3096.370136
Montenegro,MNE,7900
Mongolia,MNG,3740
Northern Mariana Islands,MNP,
Mozambique,MOZ,460
Mauritania,MRT,1670
Mauritius,MUS,10230
Malawi,MWI,580
Malaysia,MYS,10570
North America,NAC,62025.97655
Namibia,NAM,4500
New Caledonia,NCL,
Niger,NER,550
Nigeria,NGA,2000
Nicaragua,NIC,1850
Netherlands,NLD,51070
Norway,NOR,78290
Nepal,NPL,1190
Nauru,NRU,15990
New Zealand,NZL,
OECD members,OED,38595.67486
Oman,OMN,15030
Other small states,OSS,12307.74208
Pakistan,PAK,1270
Panama,PAN,12420
Peru,PER,6030
Philippines,PHL,3430
Palau,PLW,14390
Papua New Guinea,PNG,2720
Poland,POL,15260
Pre-demographic dividend,PRE,1336.102851
Puerto Rico,PRI,21160
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,21810
Paraguay,PRY,5180
West Bank and Gaza,PSE,3710
Pacific island small states,PSS,3914.99375
Post-demographic dividend,PST,44967.23583
French Polynesia,PYF,
Qatar,QAT,55990
Romania,ROU,12600
Russian Federation,RUS,10690
Rwanda,RWA,780
South Asia,SAS,1834.913463
Saudi Arabia,SAU,21930
Sudan,SDN,530
Senegal,SEN,1430
Singapore,SGP,54920
Solomon Islands,SLB,2300
Sierra Leone,SLE,510
El Salvador,SLV,3630
San Marino,SMR,
Somalia,SOM,420
Serbia,SRB,7430
Sub-Saharan Africa (excluding high income),SSA,1505.574493
South Sudan,SSD,
Sub-Saharan Africa,SSF,1506.501394
Small states,SST,11188.13759
Sao Tome and Principe,STP,2060
Suriname,SUR,4620
Slovak Republic,SVK,18920
Slovenia,SVN,25340
Sweden,SWE,54050
Eswatini,SWZ,3410
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,12200
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,630
East Asia & Pacific (IDA & IBRD countries),TEA,8416.251397
Europe & Central Asia (IDA & IBRD countries),TEC,8575.500809
Togo,TGO,920
Thailand,THA,7040
Tajikistan,TJK,1060
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,7503.486256
Timor-Leste,TLS,1990
Middle East & North Africa (IDA & IBRD countries),TMN,3088.899566
Tonga,TON,5190
South Asia (IDA & IBRD),TSA,1834.913463
Sub-Saharan Africa (IDA & IBRD countries),TSS,1506.501394
Trinidad and Tobago,TTO,15420
Tunisia,TUN,3300
Turkey,TUR,9050
Tuvalu,TUV,5820
Tanzania,TZA,1080
Uganda,UGA,800
Ukraine,UKR,3570
Upper middle income,UMC,9412.280195
Uruguay,URY,15790
United States,USA,64140
Uzbekistan,UZB,1740
St. Vincent and the Grenadines,VCT,7310
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,2650
Vanuatu,VUT,3190
World,WLD,11077.47327
Samoa,WSM,4050
Kosovo,XKX,4440
"Yemen, Rep.",YEM,
South Africa,ZAF,6010
Zambia,ZMB,1160
Zimbabwe,ZWE,1140
